pátio,código,em_operação,auto_assistido,comprimento_útil_desvio,tempo_médio_licenc,id
,,,,,,
,,,,,,
cara-cara,lcc,sim,nao,802.0,3.0,1.0
bairro oficinas,lof,nao,nao,0.0,0.0,2.0
curitiba,lco,sim,nao,1438.0,1.0,3.0
cachoeira bom jesus,lch,sim,nao,338.0,1.0,4.0
almirante tamandare,ltd,sim,nao,344.0,1.0,5.0
tranqueira,ltr,sim,nao,442.0,1.0,6.0
rio branco do sul,lbr,sim,nao,1654.0,1.0,7.0
d pedro ii,ldp,sim,sim,2000.0,0.0,8.0
km 5,lid,sim,sim,8329.0,0.0,9.0
alexandra,lax,sim,nao,1791.0,0.0,10.0
saquarema,lsq,sim,nao,1388.0,0.0,11.0
morretes,lmr,sim,sim,1911.0,0.0,12.0
eng. roberto costa,lot,sim,nao,888.0,0.0,13.0
eng. lange,lel,sim,nao,861.0,0.0,14.0
marumby,lmy,sim,nao,784.0,0.0,15.0
veu de noiva,lvn,sim,nao,856.0,0.0,16.0
est km 70,lks,sim,nao,873.0,0.0,17.0
banhado,lbh,sim,nao,1001.0,0.0,18.0
roca nova,lrn,sim,nao,800.0,0.0,19.0
piraquara,lpq,sim,nao,975.0,0.0,20.0
eng. coral,luz,sim,nao,827.0,0.0,21.0
pinhais,lnh,sim,nao,672.0,0.0,22.0
"posto km 103,490",lkp,sim,nao,1100.0,0.0,23.0
km 108,lkm,sim,nao,736.0,0.0,24.0
iguacu,lic,sim,sim,2900.0,0.0,25.0
tatuquara,ltu,sim,nao,1607.0,1.0,26.0
araucaria terminal,law,sim,nao,1481.0,1.0,27.0
araucaria carga,lar,sim,nao,1983.0,1.0,28.0
posto km 141,lab,sim,nao,1366.0,1.0,29.0
general lucio,lgi,sim,nao,1334.0,1.0,30.0
balsa nova,lbn,sim,nao,1423.0,1.0,31.0
eng. bley,leb,sim,nao,786.0,1.0,32.0
e. ozorio de almeida,loz,sim,nao,1310.0,1.0,33.0
eng. walter s veloso,lwv,sim,nao,1434.0,1.0,34.0
machado da costa,lmo,sim,nao,1343.0,1.0,35.0
angelo lopes,llp,sim,nao,1436.0,1.0,36.0
eng. lineo do amaral,lly,sim,nao,1645.0,1.0,37.0
desvio ribas,ldv,sim,nao,2157.0,1.0,38.0
furnas,lfu,sim,nao,1468.0,1.0,39.0
vila velha,lvv,sim,nao,1327.0,1.0,40.0
uvaranas,lus,sim,sim,2616.0,4.0,41.0
entre-rios,ler,sim,nao,743.0,3.0,42.0
guarauna,lgu,sim,nao,838.0,3.0,43.0
eng. teixeira soares,lts,sim,nao,823.0,3.0,44.0
fernandes pinheiro,lfp,sim,nao,750.0,3.0,45.0
irati,lit,sim,nao,729.0,3.0,46.0
eng. gutierrez,lgz,sim,nao,729.0,3.0,47.0
lapa,lla,sim,nao,729.0,1.0,48.0
rio da varzea,lvz,sim,nao,1260.0,1.0,49.0
rio negro,lro,sim,sim,1693.0,1.0,50.0
mafra,lri,sim,sim,733.0,3.0,51.0
sao francisco do sul,lfc,sim,sim,643.0,3.0,52.0
rio do morro,ldm,sim,nao,1507.0,3.0,53.0
guaramirim,lba,sim,nao,1341.0,3.0,54.0
