nome,id
intercement - apiai,1
liquidos - araucaria,2
c. lavoura,3
camera,4
brado - cara-cara,5
ab,6
bunge alimentos,7
cargill,8
cotriguacu - container,9
cotriguacu graos,10
moinho guacu,11
votorantim,12
3 tentos,13
bunge,14
c.lavoura,15
ceifasul,16
cotriba,17
ipiranga,18
yara,19
cattalini,20
cbl,21
centro sul,22
corredor - silao,23
cotriguacu,24
dreyfus,25
fospar,26
interalli,27
pasa,28
rocha,29
sambra,30
seara,31
soceppar az4,32
soceppar az5,33
tcp - container,34
cargill 509,35
cargill fabrica,36
pool - montanha raizen,37
br,38
raizen,39
c.vale,40
fertipar,41
klabin - paranagua,42
multitrans,43
terminal rumo - sipal,44
usina,45
idaza,46
att,47
compager,48
pool,49
zll,50
cocamar,51
cofco,52
rhall,53
usina santa terezinha,54
klabin - ortigueira,55
bsbios,56
cotrijal,57
intercement,58
bianchini,59
tergrasa,60
termasa,61
yara rig3,62
ricolog,63
agrofel,64
cidasc,65
global,66
litoral,67
terlogs,68
cpa,69
nemitz,70
terra rica - tranqueira,71
agropan,72
